path	extension	pdb_md5	local_md5	status
bse/bse.h	.h	AFCA01E1F9DA9E51618BD859929CCF6E	AFCA01E1F9DA9E51618BD859929CCF6E	exact
bse/bse_bounds.cpp	.cpp	2FB7BA5489375D4A69CB6F85D8B66688	1C0AB5EB204CAF94411635FAA18CB8F9	different
bse/bse_effect.cpp	.cpp	E832BE247FAD24284A36023056DE3641	94F37D0330EF8EEA56118E95E1866064	different
bse/bse_effecttemplate.cpp	.cpp	098F47F781C6DCD1281D294E419246AA	65403D78B2F14C8406A61CBBB786C232	different
bse/bse_electricity.cpp	.cpp	04AEEC8014E3F76E0A809201B435BCED	DB910E951B2A5B26CFF8945ABB776427	different
bse/bse_envelope.h	.h	DFE65CC627F3B21B650304B0BC17DEF7	DFE65CC627F3B21B650304B0BC17DEF7	exact
bse/bse_envelopes.cpp	.cpp	6F04774245302B5E2B8329F0300A6BBF	4DE7133570D725F981FD5871965BFE3B	different
bse/bse_light.cpp	.cpp	1992B8180790F5227C71B787A8485186	B9064DD42A13F36C2285ED756A926E65	different
bse/bse_manager.cpp	.cpp	FFE234C0E8481DB73B17E98C8D40F865	DC839B714B847EF0829898CC020630FF	different
bse/bse_parseparticle2.cpp	.cpp	1BB86F5EB9A4B3504057A2AE096445EF	1AB25EA57BDFCDAFB5E5C5D1F900B147	different
bse/bse_particle.cpp	.cpp	B89C09970EC3ACA6B62532C439439F36	855611C912505B4E43F99FF50863E65F	different
bse/bse_particle.h	.h	D3781711E47A67AE76DFB840BC2B0583	D3781711E47A67AE76DFB840BC2B0583	exact
bse/bse_render.cpp	.cpp	4A7A8A34402716D9FD0581209D7024C4	AD9E790029E0DE9F3754F463CAA235BA	different
bse/bse_segment.cpp	.cpp	8B8FE74838778A1BAF58706AE46ABFE8	BB9E0577950612636359411718539881	different
bse/bse_segmenttemplate.cpp	.cpp	B9E2F8AF82EB75277FEC012683CAE08D	6CD2324AF8D1621374FD0DF03559B6CF	different
bse/bse_spawndomains.cpp	.cpp	E65260673831F67CFB8223016FFD31B8	0C7799A05BEB2FF60DD7399F2AFE6705	different
bse/bse_spawndomains.h	.h	F120F7031DAE51091AF5A3B2CA1016F9	F120F7031DAE51091AF5A3B2CA1016F9	exact
bse/bseinterface.h	.h	DFD927558CF0CC38026E87A6F6192D8B	DFD927558CF0CC38026E87A6F6192D8B	exact
build/win32/intermediate/release/etqw/engine.res	.res	5C54A091273D9CF3A007C928ED8C3BE5		missing
build/win32/intermediate/release/etqw/version.res	.res	41527F5F68E85A6083FA62CF0505DE35		missing
cm/collisionmodel.cpp	.cpp	7FA50A56AE9E17200FA47F21EE5AD178	41A47F87DD2093B70A050849A9197274	different
cm/collisionmodel.h	.h	32BDA9944D2742B99D90AFDB2915AE6F	32BDA9944D2742B99D90AFDB2915AE6F	exact
cm/collisionmodel_asm.h	.h	D305EFBE497CFA34DF1F8E4B8CA10721		missing
cm/collisionmodel_contacts.cpp	.cpp	B528E6E95D9B3ECF999F09941CA5FB3E	C9DFA5AD62512D6CB4AB18884A50F2B6	different
cm/collisionmodel_contents.cpp	.cpp	E37DD911A62B95C8AC3480CC700FACE6	8EF0C573A084B4B16553DDC0FCB5DF8C	different
cm/collisionmodel_debug.cpp	.cpp	5D721FB9B901434726A0309DCDE6F588	B1B3953E5B4B8E6021AB452C75343D10	different
cm/collisionmodel_files.cpp	.cpp	811FD99EC34918BBCBDE22DCAF97B492	F07843C739072F153CBF9A674836437A	different
cm/collisionmodel_load.cpp	.cpp	5D36DBBB2901D346D12E37295E0FB7D0	131D9A8DC2F34C5697228D27EA82F0FB	different
cm/collisionmodel_local.h	.h	916AA947F602E2BAF0F5042903B93648	7A19F76E240D5ADD5BE4D8F9D117064B	different
cm/collisionmodel_rotate.cpp	.cpp	F3557117A82614ED8D1B6D74D68FE21F	0A7F13B06843E4D1DFD2540588D5C55C	different
cm/collisionmodel_trace.cpp	.cpp	DE43C367911D1B166E01CD8CE379995C	9A6F5995C85162D381B6B1000FB2E2EA	different
cm/collisionmodel_translate.cpp	.cpp	ED4603BDB944C14321D3DA53F0AFAD50	9F2AD82C82C53514EB24F24CBFAFF959	different
common/common.h	.h	A996CA1A84B8A9EC2BEAA31A59C231A1	A996CA1A84B8A9EC2BEAA31A59C231A1	exact
curl/include/curl/curl.h	.h	54090050C19F2592BE7E609BBA7A14F3	F922A55492EF4C46B6CD3985016AC6C9	different
curl/include/curl/easy.h	.h	DFE7BB66002ACB32F88F65AEC8F3ABFE	AC27A46758812491BB755E25C53B4C2C	different
curl/include/curl/mprintf.h	.h	EDFDE1FDCB2E8409FEDC3C47B3DCD2F1	3B738E6E22D009FEED160270196799D0	different
curl/include/curl/multi.h	.h	81E8C12ACD423DC5423915B5E7B08F4A	FD54EB83A785C84F483AF7912C50A9FA	different
curl/include/curl/types.h	.h	3BC83CC40C265D4A093A6BE72D5C2AE7	E5762DDD2A7BB4143C21FFF24607C96A	different
curl/lib/arpa_telnet.h	.h	77F1A965B2DB33BFF5C9330CF2599587	104809302D33D36211A501F536BDB756	different
curl/lib/base64.c	.c	EFF842FDB913752A58D69D132B511D9A	08DDAD04CF1F085EF2843A3D9CEE7C64	different
curl/lib/base64.h	.h	844CFB76249DB7C4DDD474BE0E69CF9E	BB62670306DF5D938F8D851F2EC4FD9C	different
curl/lib/config-win32.h	.h	DA0FA74BE1A7E1B311A3D81A7A1E6CFB	189A483FCF0524A5472A5BE53B174979	different
curl/lib/connect.c	.c	0784A2548B77710FF480C2EA0659D3CE	7CAD715EAA935C2E8647A87E7B149DB1	different
curl/lib/connect.h	.h	1CE59E7ED6486F7E0D23E644F625544F	8CA370B27A3DDB74CC82C3C7BA08C11C	different
curl/lib/content_encoding.h	.h	DCBAD232A09AFB71F26D300BB834AB40	BA55775FABD8D53C7738198F73EB2B75	different
curl/lib/cookie.c	.c	83A28D810318FB6D2F245F6C6B9BBD87	93AB549ACCA34B42B4032B95537F27D5	different
curl/lib/cookie.h	.h	FF72390748E757D540D6FB88BC4F3CB3	598D2095539A998BA9A9926E76AE7897	different
curl/lib/dict.c	.c	6B8D259DC91DF01B04FC73078964B2F4	2E3597F2746847AC9FC23C4BAED10323	different
curl/lib/dict.h	.h	A8FB2E514B7D80EB8947E7A39E7C211D	D9C8A0CFDAADC1D015D8AF0141B1B7D7	different
curl/lib/easy.c	.c	D3FA77FB850ED8FB62AC9B84A26C9074	9C93896E6E34F6A56D5833EE029E13C8	different
curl/lib/escape.c	.c	FE641AA262E72F673EC4C0E68F8FA1D8	E41DA1A3FEDAD96E8F90A3975CCE7181	different
curl/lib/escape.h	.h	3F0F1673DBDE21B11A61019989A25D73	C1C54D1F14D51795A9EF1C23118877E7	different
curl/lib/file.c	.c	7D63BF85BC379C698DED61DEACB7A9BB	F377D2914C5D89411C1AF44EDE1E4B83	different
